,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
204,Parc des Pins / Redpath Crescent,https://montreal.ca/lieux/parc-des-pins-redpath-crescent,"Le parc des Pins / Redpath Crescent est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2024-02-01,Ville-Marie,Parc et jardins,Parc,,,,Culture et sports,Ouvert, ,,,,,,Parc des Pins / Redpath Crescent,"1305, avenue des Pins",,H3G 1B2,Montréal,-73.584846,45.501495,298169.4,5040178.3
205,Parc des Madelinots,https://montreal.ca/lieux/parc-des-madelinots,"Le parc des Madelinots est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2024-02-01,Verdun,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:21:00,Mardi, ouverture:07:00, fermeture:21:00,Mercredi, ouverture:07:00, fermeture:21:00,Jeudi, ouverture:07:00, fermeture:21:00,Vendredi, ouverture:07:00, fermeture:21:00,Samedi, ouverture:07:00, fermeture:21:00,Dimanche, ouverture:07:00, fermeture:21:00]",,,,,,Parc des Madelinots,"3651, boulevard LaSalle",,H4G 1Z6,Montréal,-73.566360712257,45.467244192403,299610.9,5036370.6
206,Parc des Joyeux-Vikings,https://montreal.ca/lieux/parc-des-joyeux-vikings,"Avec ses jeux d’eau d’inspiration viking, modules de jeux tout neufs pour les 2 à 5 ans et pour les 5 à 12 ans (dont une glissade de 14 pieds de haut!), aires de jeu libre et de détente, plantation de végétaux : le parc des Joyeux-Vikings situé sur la rue Beaudry, entre les rues Robin et La Fontaine, s’est refait une beauté pour devenir un espace plus accueillant et divertissant.",2019-09-13,2024-02-01,Ville-Marie,Parc et jardins,Parc,,Module de jeu pour enfants,,Culture et sports,Ouvert, ,,,,,,Parc des Joyeux-Vikings,"1763, rue Beaudry",,H2L 3G1,Montréal,-73.559723,45.520562,300134.3,5042295.5
207,Parc de Sienne,https://montreal.ca/lieux/parc-de-sienne,"Le parc de Sienne est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2021-08-23,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants,Table à langer,Toilettes,Vestiaire,Vestiaire familial",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de Sienne,"4151, 53e Rue",,H1Z 1H5,Montréal,-73.626092,45.582637,294960.3,5049199.9
208,Parc des Ferblantiers,https://montreal.ca/lieux/parc-des-ferblantiers,"Le parc des Ferblantiers est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2021-05-05,Rosemont–La Petite-Patrie,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc des Ferblantiers,"4310, rue de la Fonderie",,H1Y 3H9,Montréal,,,,
209,Parc des Faubourgs,https://montreal.ca/lieux/parc-des-faubourgs,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-09-13,2023-05-17,Ville-Marie,Parc et jardins,Parc,"Ski de fond,Patinage,Glissade","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Support à vélo,Wi-Fi gratuit","Adapté aux poussettes,Entrée de plain-pied",Culture et sports,Ouvert, ,,,,,,Parc des Faubourgs,"1872, rue Dorion",,H2K4P3,Montréal,-73.55629,45.52669,300403.0,5042976.3
210,Parc des Corroyeurs,https://montreal.ca/lieux/parc-des-corroyeurs,"Les heures d’ouverture de ce parc respectent les consignes en vigueur pour la pratique des activités extérieures émises par la Ville de Montréal durant l’état d’urgence.Le parc des Corroyeurs est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2021-04-21,Le Sud-Ouest,Parc et jardins,Parc,,,,Culture et sports,Ouvert, ,,,,,,Parc des Corroyeurs,"3744, rue Saint-Ambroise",,H4C 2C4,Montréal,,,,
211,Parc des Compagnons-de-Saint-Laurent,https://montreal.ca/lieux/parc-des-compagnons-de-saint-laurent,"Le parc a été revampé avec une aire de jeux complètement réaménagée avec des modules en billots de bois pour les enfants intrépides ainsi que 10 nouvelles balançoires. On y retrouve des bancs pour se détendre, des tables pour y pique-niquer. ainsi que des jeux d’eau d’avant-garde pour se rafraichir. Ainsi, l’eau des jeux est récupérée dans deux fosses à proximité pour éviter le gaspillage. Une pompe redistribue ensuite cette eau afin d’irriguer les arbres du parc.Une ludothèque  y est toujours et arbore maintenant une oeuvre signée par l’artiste visuel Théo Le Roux.",2019-09-13,2023-10-25,Le Plateau-Mont-Royal,Parc et jardins,Parc,,"Aire de pique-nique,Circuit d'entraînement,Fontaine d'eau potable,Module de jeu pour enfants,Table de ping pong",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc des Compagnons-de-Saint-Laurent,"4375, rue Cartier",,H2H2N9,Montréal,-73.57238054726,45.533356020661,299146.8,5043718.1
212,Parc des Chaudronniers,https://montreal.ca/lieux/parc-des-chaudronniers,"Les heures d’ouverture de ce parc respectent les consignes en vigueur pour la pratique des activités extérieures émises par la Ville de Montréal durant l’état d’urgence.Le parc des Chaudronniers est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2021-04-16,Le Sud-Ouest,Parc et jardins,Parc,,,,Culture et sports,Ouvert, ,,,,,,Parc des Chaudronniers,"2175, rue Augustin-Cantin",,H3K 1C4,Montréal,,,,
213,Parc des Bateliers,https://montreal.ca/lieux/parc-des-bateliers,"Le parc des Bateliers est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2023-12-05,Ahuntsic-Cartierville,Parc et jardins,Parc,"Vélo,Raquette,Randonnée,Observation d'oiseaux",Aire de pique-nique,Plage progressive,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc des Bateliers,"1801, boulevard Gouin Ouest",,H3M3E5,Montréal,-73.703247620769,45.544188975381,288928.6,5044939.5
214,Parc de Saint-Aloysius,https://montreal.ca/lieux/parc-de-saint-aloysius,"Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air. En hiver, deux patinoires y sont aménagées.",2019-09-13,2023-07-07,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de Saint-Aloysius,"1651, rue Nicolet",,H1W3K5,Montréal,-73.54053914505978,45.54570634817213,301634.4,5045088.8
215,Parc Francine-Léger,https://montreal.ca/lieux/parc-francine-leger,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-09-13,2023-08-23,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,numéro: 5148727634,,Parc Francine-Léger,"4350, rue de Rouen",,H1V1H1,Montréal,-73.54236570955213,45.55465991451294,301492.3,5046083.9
216,Parc De Normanville,https://montreal.ca/lieux/parc-de-normanville,"Le parc De Normanville est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2022-08-22,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,,"Air climatisé,Fontaine d'eau potable,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc De Normanville,"7480, rue De Normanville",,H2R 2V3,Montréal,-73.616128,45.546088,295732.0,5045137.0
217,Parc Denise-Morelle,https://montreal.ca/lieux/parc-denise-morelle,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-09-13,2023-10-25,Le Plateau-Mont-Royal,Parc et jardins,Parc,,Module de jeu pour enfants,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Denise-Morelle,"4394, rue Rivard",,H2J2M9,Montréal,-73.580927,45.523665,298478.2,5042641.8
218,Parc de Montmartre,https://montreal.ca/lieux/parc-de-montmartre,Profitez des attraits de la nature ou pratiquez des loisirs en plein air.,2019-09-13,2021-06-10,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,,Aire de pique-nique,,Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc de Montmartre,rue De Montigny/60e Avenue,,H1A 1L9,Montréal,-73.49738423153,45.675827952974,305003.8,5059548.8
219,Parc De Mésy,https://montreal.ca/lieux/parc-de-mesy,"ÉTÉJeux d’eau et pataugeoireCe parc offre des jeux d’eau et une pataugeoire accessibles aux personnes handicapées. Vérifiez s’ils sont ouverts avant de vous y rendre.RèglementsLes pataugeoires sont réservées aux enfants de 8 ans et moins.Les adultes sont responsables des enfants qu’ils accompagnent.Le maillot de bain est le seul vêtement accepté pour la baignade.Les petits objets flottants, sécuritaires et adaptés aux enfants sont acceptés.Caractéristiques des pataugeoiresElles contiennent moins de 45 cm d’eau.L’eau est chlorée.Des tests sont effectués chaque heure pour vérifier la salubrité de l’eau.En cas d’orage, la pataugeoire est évacuée.La surveillance est assurée par des employés spécialement formés. HIVERPatinoire réfrigérée Bleu Blanc BougeL’hiver, au parc De Mésy, venez vous amuser à la patinoire réfrigérée Bleu Blanc Bouge de Cartierville.*** Le parc De Mésy propose aussi une patinoire sans bandes pour le patinage libre, ouverte selon les conditions météorologiques. Consulter l’état des patinoires extérieures.",2019-09-13,2023-12-05,Ahuntsic-Cartierville,Parc et jardins,Parc,"Patinage,Hockey,Basketball","Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé,Support à vélo,Terrain de basketball,Toilettes,Vestiaire","Accessible en fauteuil roulant,Accessible en fauteuil roulant avec assistance,Adapté aux poussettes,Entrée de plain-pied,Sentier d'accès,Toilettes accessibles,Zone de débarcadère,Zone de débarcadère pour transport adapté",Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc De Mésy,"12120, rue Grenet",,H4J2P4,Montréal,-73.717326,45.529561,287824.8,5043316.8
220,Parc de l'Ukraine,https://montreal.ca/lieux/parc-de-lukraine,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-09-13,2022-11-21,Rosemont–La Petite-Patrie,Parc et jardins,Parc,"Ping-pong,Pétanque ou bocce","Module de jeu pour enfants,Module de jeu pour tout-petits,Table de ping pong",Adapté aux poussettes,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de l'Ukraine,"6043, 12e Avenue",,H1X1H9,Montréal,-73.582092508577,45.554881289663,298390.7,5046110.9
221,Parc de Louisbourg,https://montreal.ca/lieux/parc-de-louisbourg,"On y trouve 2 patinoires (une pour le hockey et l’autre pour le patinage), un terrain de soccer, et bien plus encore.",2019-09-13,2023-12-05,Ahuntsic-Cartierville,Parc et jardins,Parc,"Soccer,Randonnée,Patinage,Hockey,Baseball","Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé,Support à vélo,Toilettes","Adapté aux poussettes,Entrée de plain-pied,Sentier d'accès",Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de Louisbourg,"5455, rue de Louisbourg",,H4J1K8,Montréal,-73.707616416437,45.528431920912,288582.9,5043189.3
222,Parc De Lorimier,https://montreal.ca/lieux/parc-de-lorimier,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air. Ce parc est aussi un site de compostage collectif.,2019-09-13,2023-10-25,Le Plateau-Mont-Royal,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Support à hamac",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc De Lorimier,"5131, rue Chabot",,H2H1Y8,Montréal,-73.580810292774,45.537508321993,298488.9,5044180.2
223,Parc de l'Île Perry,https://montreal.ca/lieux/parc-de-lile-perry,"Le parc de l’Île Perry est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2023-12-18,Ahuntsic-Cartierville,Parc et jardins,Parc,"Vélo,Ski de fond,Raquette,Randonnée,Observation d'oiseaux",Aire de pique-nique,Plage progressive,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de l'Île Perry,"1271, boulevard Gouin Ouest",,H3L1K9,Montréal,-73.697236231735,45.547756062591,289399.0,5045334.8
224,Parc De Lestre,https://montreal.ca/lieux/parc-de-lestre,"Le parc De Lestre est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-13,2022-01-19,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc De Lestre,"8001, avenue Bloomfield",,H3N 1J1,Montréal,-73.633354072004,45.530473548768,294384.0,5043403.9
225,Parc de l'Espoir,https://montreal.ca/lieux/parc-de-lespoir,"Le parc de l’Espoir est un lieu de recueillement et de rassemblement dédié à la mémoire des victimes du VIH/sida au Québec, à l’angle des rues Sainte-Catherine Est et Panet.",2019-09-13,2021-08-19,Ville-Marie,Parc et jardins,Parc,,,,Culture et sports,Ouvert, ,,,,,,Parc de l'Espoir,"1336, rue Sainte-Catherine Est",,H2L 2H5,Montréal,-73.55471,45.519644,300525.9,5042193.2
226,Parc de l'esplanade de la Pointe-Nord,https://montreal.ca/lieux/parc-de-lesplanade-de-la-pointe-nord,"Le parc de l’esplanade de la Pointe-Nord est situé sur le bord du fleuve Saint-Laurent.On y retrouve l’entreprise NAVI Espace Nautique en Ville qui offre diverses activités ainsi qu’un service de location d’équipement comme le kayak simple et double, la planche à pagaie et le eFatbike.",2019-09-16,2023-11-15,Verdun,Parc et jardins,Parc,,Fontaine d'eau potable,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:21:00,Mardi, ouverture:07:00, fermeture:21:00,Mercredi, ouverture:07:00, fermeture:21:00,Jeudi, ouverture:07:00, fermeture:21:00,Vendredi, ouverture:07:00, fermeture:21:00,Samedi, ouverture:07:00, fermeture:21:00,Dimanche, ouverture:07:00, fermeture:21:00]",,,,,,Parc de l'esplanade de la Pointe-Nord,"205, rue de la Rotonde",,H3E0C1,Montréal,-73.537663809864,45.473443736503,301855.2,5037058.1
227,Parc de l'école secondaire de la Pointe-aux-Trembles,https://montreal.ca/lieux/parc-de-lecole-secondaire-de-la-pointe-aux-trembles,Profitez des attraits de la nature ou pratiquez des loisirs en plein air.Le site comprend une piste de BMX.,2019-09-16,2021-11-15,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,"Baseball,Basketball,Pickleball,Soccer,Tennis","Aire de pique-nique,Fontaine d'eau potable,Toilettes,Wi-Fi gratuit",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc de l'école secondaire de la Pointe-aux-Trembles,"15200, rue Sherbrooke Est",,H1A 3P9,Montréal,-73.494401615105,45.68460557447,305236.1,5060524.3
228,Parc De La Vérendrye,https://montreal.ca/lieux/parc-de-la-verendrye,Neuf terrains de tennis standards et quatre minis courts de tennis sont disponibles.Horaire du chalet de parc Tous les jours de 10 h à 20 h,2019-09-16,2023-07-07,Le Sud-Ouest,Parc et jardins,Parc,Pétanque ou bocce,Aire de pique-nique,,Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc De La Vérendrye,"5900, rue Drake",,H4E4G7,Montréal,-73.58136449966,45.458845253498,298436.7,5035438.4
229,Parc de la Traite-des-Fourrures,https://montreal.ca/lieux/parc-de-la-traite-des-fourrures,"Situé à côté de l’école Saint-Zotique, il est accessible au grand public après les cours, de 18 h à 22 h.",2019-09-16,2021-11-11,Le Sud-Ouest,Parc et jardins,Parc,,"Module de jeu pour enfants,Module de jeu pour tout-petits",,Culture et sports,Ouvert, ,,,,,,Parc de la Traite-des-Fourrures,"4876, rue Notre-Dame Ouest",,H4C 1S8,Montréal,-73.589915174862,45.471215667009,297769.5,5036813.8
230,Parc de la Stelco,https://montreal.ca/lieux/parc-de-la-stelco,"Le parc de la Stelco est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.Découvrez les activités offertes dans nos parcs cet été.",2019-09-16,2022-06-14,Le Sud-Ouest,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc de la Stelco,"191, rue Vinet",,H3J 2X1,Montréal,,,,
231,Parc de la Savane,https://montreal.ca/lieux/parc-de-la-savane,"Le parc de la Savane est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-16,2021-07-20,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,Basketball,"Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants,Table à langer,Terrain de basketball,Toilettes,Vestiaire",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de la Savane,"5111, rue Paré",,H4P 1P4,Montréal,-73.654762,45.49882,292705.1,5039889.2
232,Parc de l'Ancienne-Pépinière,https://montreal.ca/lieux/parc-de-lancienne-pepiniere,"Le parc de l’Ancienne-Pépinière est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air. On y trouve notamment une magnifique fontaine, ainsi que plusieurs sentiers.",2019-09-16,2024-02-01,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de l'Ancienne-Pépinière,"5220, rue Du Quesne",,H1M 1N7,Montréal,,,,
233,Parc de l'Ancienne-cour-de-triage,https://montreal.ca/lieux/parc-de-lancienne-cour-de-triage,"Le parc de l’Ancienne-cour-de-triage est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-16,2022-06-20,Le Sud-Ouest,Parc et jardins,Parc,,,,Culture et sports,Ouvert, ,,,,,,Parc de l'Ancienne-cour-de-triage,"3701, rue Saint-Patrick",,H4E 1A1,Montréal,-73.578663,45.473628,298649.6,5037080.9
